fips,disasterNumber,declarationDate,stateAbbreviation,total_federal_share,prior_disasters_5yr,county_obligation,FIPS,STATE,COUNTY,svi_score,population,area_sqmi,pop_density
48465,1239,1998-08-26,TX,75000.0,0,1797184.91,48465,TEXAS,Val Verde,0.9678,49027.0,3144.7481504,15.59011967103437
48029,1239,1998-08-26,TX,5631.75,0,5631.75,48029,TEXAS,Bexar,0.8258,1925865.0,1240.213942,1552.8490164320374
48453,1239,1998-08-26,TX,375000.0,0,3347261.5599999996,48453,TEXAS,Travis,0.3812,1203166.0,991.8480644,1213.0547441536148
48267,1239,1998-08-26,TX,2874.01,0,76168.25,48267,TEXAS,Kimble,0.5885,4408.0,1250.9843719,3.5236251539298706
48323,1239,1998-08-26,TX,12028.63,0,12028.63,48323,TEXAS,Maverick,0.9742,57970.0,1279.4716524,45.3077642566456
48469,1257,1998-10-21,TX,4620.0,0,2427063.21,48469,TEXAS,Victoria,0.7834,91970.0,882.1059706,104.2618495569675
48321,1257,1998-10-21,TX,13726.5,0,30413.25,48321,TEXAS,Matagorda,0.9067,36743.0,1092.8951992,33.61987501353826
48409,1257,1998-10-21,TX,10706.25,0,226961.5,48409,TEXAS,San Patricio,0.8309,67046.0,693.4356958,96.68668689264786
48057,1257,1998-10-21,TX,4315.05,0,347955.08,48057,TEXAS,Calhoun,0.8618,21807.0,506.8388012,43.02551412474614
48355,1257,1998-10-21,TX,7906.13,0,233590.82,48355,TEXAS,Nueces,0.8363,360486.0,838.3154273,430.01236558538994
48473,1257,1998-10-21,TX,2487.0,0,255700.81,48473,TEXAS,Waller,0.8331,49987.0,513.3362959,97.37671074351164
48339,1257,1998-10-21,TX,999.75,0,511467.16000000003,48339,TEXAS,Montgomery,0.3914,554445.0,1042.6222002,531.7793922800072
48185,1257,1998-10-21,TX,1746.54,0,94827.36,48185,TEXAS,Grimes,0.8602,27630.0,787.4666248,35.0872013236338
48455,1257,1998-10-21,TX,10132.59,0,412195.76,48455,TEXAS,Trinity,0.8016,14569.0,693.7962016,20.998961894576045
48157,1257,1998-10-21,TX,13131.56,0,17376.64,48157,TEXAS,Fort Bend,0.2873,739342.0,861.5814022,858.1220510472157
48291,1257,1998-10-21,TX,984.6,0,452092.95,48291,TEXAS,Liberty,0.9427,81862.0,1158.384922,70.66908282841064
48407,1257,1998-10-21,TX,3636.0,0,226984.66,48407,TEXAS,San Jacinto,0.6869,27819.0,569.2426343,48.870197563836975
48373,1257,1998-10-21,TX,10769.24,0,218144.32,48373,TEXAS,Polk,0.9121,47837.0,1057.0441254,45.2554428434081
48015,1257,1998-10-21,TX,6385.95,0,449147.09,48015,TEXAS,Austin,0.4936,29565.0,646.4914301,45.731464677616614
48471,1257,1998-10-21,TX,2452.5,0,420995.49,48471,TEXAS,Walker,0.6997,71539.0,784.2213842,91.22296514902915
48051,1257,1998-10-21,TX,33302.63,0,1163677.67,48051,TEXAS,Burleson,0.608,17863.0,659.0332042,27.104855849689525
48391,1257,1998-10-21,TX,22334.78,0,22334.78,48391,TEXAS,Refugio,0.9414,7236.0,770.4841314,9.391497767581408
48239,1257,1998-10-21,TX,1175.16,0,183923.57,48239,TEXAS,Jackson,0.6774,14820.0,829.4423524,17.86742617750128
48481,1257,1998-10-21,TX,5915.12,0,633350.4199999999,48481,TEXAS,Wharton,0.8758,41551.0,1086.1502196,38.255297702100655
48187,1257,1998-10-21,TX,9200.31,0,6387395.87,48187,TEXAS,Guadalupe,0.4344,155137.0,711.2521371,218.11814953912494
48055,1257,1998-10-21,TX,5731.68,0,465720.93,48055,TEXAS,Caldwell,0.8732,41401.0,545.234152,75.93251422005568
48091,1257,1998-10-21,TX,3217.5,0,2491457.3000000003,48091,TEXAS,Comal,0.2379,135097.0,559.5118777,241.4551064677067
48209,1257,1998-10-21,TX,6062.91,0,2186239.71,48209,TEXAS,Hays,0.4924,204150.0,677.9869228,301.11200251014634
48493,1257,1998-10-21,TX,1410.0,0,709823.87,48493,TEXAS,Wilson,0.4436,48198.0,803.7341913,59.96758694817019
48453,1257,1998-10-21,TX,3070.83,1,1916087.87,48453,TEXAS,Travis,0.3812,1203166.0,991.8480644,1213.0547441536148
48021,1257,1998-10-21,TX,2111.09,0,609957.35,48021,TEXAS,Bastrop,0.7459,82577.0,888.1775705,92.97352550066451
48201,1257,1998-10-21,TX,8889.32,0,382040.61,48201,TEXAS,Harris,0.7236,4602523.0,1705.2020628,2699.1071031444217
48029,1257,1998-10-21,TX,3078.35,1,4637648.23,48029,TEXAS,Bexar,0.8258,1925865.0,1240.213942,1552.8490164320374
48123,1257,1998-10-21,TX,15166.5,0,2680302.52,48123,TEXAS,DeWitt,0.8229,20435.0,908.9759721,22.48134233162311
48255,1257,1998-10-21,TX,2655.75,0,55200.75,48255,TEXAS,Karnes,0.8424,15387.0,747.4966878,20.58470659620761
48175,1257,1998-10-21,TX,2235.75,0,45190.28,48175,TEXAS,Goliad,0.5815,7531.0,852.0107456,8.839090397500264
48265,1257,1998-10-21,TX,6938.25,0,6938.25,48265,TEXAS,Kerr,0.6959,51365.0,1103.325793,46.55469882593418
48089,1257,1998-10-21,TX,7478.1,0,248981.25,48089,TEXAS,Colorado,0.6847,21022.0,960.2834866,21.891452152770988
48041,1257,1998-10-21,TX,14725.5,0,17257.64,48041,TEXAS,Brazos,0.6532,219193.0,585.5130227,374.3605889229012
48177,1257,1998-10-21,TX,10703.48,0,797287.54,48177,TEXAS,Gonzales,0.8959,20667.0,1066.685873,19.374963635615714
48149,1257,1998-10-21,TX,1332.0,0,42279.0,48149,TEXAS,Fayette,0.4363,25066.0,949.8696531,26.388883904433055
48031,1257,1998-10-21,TX,51721.13,0,51721.13,48031,TEXAS,Blanco,0.2783,11279.0,709.2495048,15.902725237969035
17139,3134,1999-01-08,IL,6477.0,0,74592.15,17139,ILLINOIS,Moultrie,0.2949,14703.0,335.9565387,43.76458948200254
17149,3134,1999-01-08,IL,3472.85,0,66001.78,17149,ILLINOIS,Pike,0.3494,15754.0,831.4032382,18.948687323022263
17071,3134,1999-01-08,IL,32094.77,0,35591.95,17071,ILLINOIS,Henderson,0.0669,6884.0,378.7888524,18.173713287450482
17129,3134,1999-01-08,IL,8146.67,0,37848.17,17129,ILLINOIS,Menard,0.0484,12367.0,314.4392522,39.33033141846405
17115,3134,1999-01-08,IL,5843.57,0,134970.25,17115,ILLINOIS,Macon,0.5971,106512.0,580.5754376,183.45936307657533
17093,3134,1999-01-08,IL,10572.7,0,34175.0,17093,ILLINOIS,Kendall,0.1398,124626.0,320.2592645,389.14096738019583
17197,3134,1999-01-08,IL,46122.08,0,579612.14,17197,ILLINOIS,Will,0.2022,688697.0,835.8828932,823.9156532603148
17111,3134,1999-01-08,IL,3345.01,0,216311.31,17111,ILLINOIS,McHenry,0.0701,307789.0,603.4074415,510.0848594688735
17105,3134,1999-01-08,IL,5532.46,0,13152.380000000001,17105,ILLINOIS,Livingston,0.4841,36324.0,1043.626277,34.805562872963186
17053,3134,1999-01-08,IL,1147.5,0,1147.5,17053,ILLINOIS,Ford,0.3051,13398.0,485.5966726,27.590798611250616
17183,3134,1999-01-08,IL,800.63,0,68702.02,17183,ILLINOIS,Vermilion,0.8131,78407.0,898.2895892,87.28476979214221
17147,3134,1999-01-08,IL,3514.6,0,27905.48,17147,ILLINOIS,Piatt,0.0032,16427.0,439.1522283,37.40616337890503
17075,3134,1999-01-08,IL,1552.5,0,19473.0,17075,ILLINOIS,Iroquois,0.3404,28169.0,1117.405336,25.20929432898287
17113,3134,1999-01-08,IL,7146.2,0,188465.01,17113,ILLINOIS,McLean,0.1904,173219.0,1183.2326266,146.3947123379635
17087,3134,1999-01-08,IL,70175.07,0,108132.77,17087,ILLINOIS,Johnson,0.4624,12602.0,343.9252415,36.64168394572458
17039,3134,1999-01-08,IL,1518.75,0,44270.95,17039,ILLINOIS,De Witt,0.129,16042.0,397.5517452,40.351979820713915
17021,3134,1999-01-08,IL,2081.25,0,77984.25,17021,ILLINOIS,Christian,0.2408,33231.0,709.4917108,46.83775651519564
17167,3134,1999-01-08,IL,216307.5,0,1848992.04,17167,ILLINOIS,Sangamon,0.4357,197661.0,868.2960472,227.64240449717437
17089,3134,1999-01-08,IL,6786.66,0,635663.09,17089,ILLINOIS,Kane,0.4169,530839.0,519.3589504,1022.104268331485
17043,3134,1999-01-08,IL,6545.93,0,1490637.66,17043,ILLINOIS,DuPage,0.1611,931743.0,327.7267077,2843.0487296534725
17031,3134,1999-01-08,IL,6663.75,0,10295778.02,17031,ILLINOIS,Cook,0.6755,5223719.0,944.9347676,5528.12657456504
17097,3134,1999-01-08,IL,13155.75,0,898139.58,17097,ILLINOIS,Lake,0.3513,703619.0,443.9412703,1584.9371236076315
17019,3134,1999-01-08,IL,21623.25,0,144986.83000000002,17019,ILLINOIS,Champaign,0.499,209448.0,996.1080602,210.26634395262974
17067,3134,1999-01-08,IL,12985.63,0,46508.54,17067,ILLINOIS,Hancock,0.1232,18112.0,793.7183884,22.8191765047937
17109,3134,1999-01-08,IL,19984.73,0,27254.18,17109,ILLINOIS,McDonough,0.5166,30875.0,589.4073239,52.38312920122165
17009,3134,1999-01-08,IL,3706.18,0,6727.49,17009,ILLINOIS,Brown,0.4745,6675.0,305.6786789,21.836655484184636
17013,3134,1999-01-08,IL,3772.73,0,30947.739999999998,17013,ILLINOIS,Calhoun,0.1901,4858.0,253.8245826,19.139202161737348
17171,3134,1999-01-08,IL,13350.75,0,13350.75,17171,ILLINOIS,Scott,0.1354,5047.0,250.9127187,20.11456424428755
17143,3134,1999-01-08,IL,3379.5,0,289988.81,17143,ILLINOIS,Peoria,0.6131,184463.0,618.6715652,298.15981592812983
17073,3134,1999-01-08,IL,2356.36,0,58683.35,17073,ILLINOIS,Henry,0.201,49464.0,822.999059,60.102134333060036
17061,3134,1999-01-08,IL,10482.0,0,32842.7,17061,ILLINOIS,Greene,0.1952,13218.0,543.0197814,24.34165467401884
17203,3134,1999-01-08,IL,1379.51,0,46523.76,17203,ILLINOIS,Woodford,0.0188,38817.0,527.7806262,73.54760306281209
